Serial-No,Product_Name,Price in ₹,Product_Stars,Ratings,Reviews,Brand,image_url,features,Rating_Count,Type of Sorting,Review_Count
48,"Noise ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown Smartwatch","₹2,999",4.3,13303,1008,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.78 inch AMOLED Always On Display (368*448px, 326 PPI & 500 nits)Bluetooth calling (In built speaker, in-built microphone & dial from recent call logs and access favourite contacts)Tru Sync Technology for quick pairing , stable connectivity and low power consumption.Lightweight design & unique straps (10.9mm thick - excluding sensors (disclaimer), metallic finish)Noise Health SuiteTM (SpO2, 24*7 heart rate tracking, activity tracker, stress monitor, sleep tracker & female health tracker)100+ watch faces (customised & cloud-based) & all-new watch UI (widgets & shortcut screens)100 sports modes with auto sports detection (Disclaimer: 10 in watch, remaining via app)Productivity and utility suite (quick reply, call & message notifications, world clock, alarm, stocks, reminders, remote camera/music control, find my phone, weather updates & smart DND)With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
49,"boAt Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge Smartwatch","₹2,999",4.1,13636,1409,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,"1.28'' round display (240*240px)Noise Health SuiteTM (SpO2, 24*7 heart rate tracking, activity tracker, sleep tracker & breathe mode)50+ sports modes| 100+ cloud-based watch faces| 7-day battery life| IP68 water resistanceApp: NoiseFit Sync appTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
50,"boAt Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge Smartwatch","₹2,999",4.1,13636,1409,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,"1.83�� display (240*284px, 500 nits) - 25% increase in screen viewing area with just 6% increase in total watch areaFlat edge design (thinner than ColorFit Caliber)150+ cloud-based & customised watch facesNoise Health SuiteTM (SpO2, 24*7 heart rate tracking, sleep monitor, female health tracker, activity tracker, stress monitor)60 sports modesUp to 12 days of battery life5 colours (Jet black, midnight blue, light lavender, vintage brown & pine green)TouchscreenFitness & OutdoorBattery Runtime: Upto 12 days1 Year Manufacturer Warranty",10K-50K,Popularity,1K-10K
51,Noise ColorFit Pro 3 Smartwatch,"₹1,499",4.1,69444,8986,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.38 inches(3.50cms) TFT display, 240x240px - Big, bright and round display for an immersive viewing experience.Up to 7-day battery life & up to 2-days of power with calling activated. Its 300mAh battery takes approx. 2 hours to fully charge. (Battery life can vary due to multiple factors)NoiseFit app - You can track your progress overtime, get health updates, compete with friends and share your achievements.BT v5.3, Single chip calling- ensures that you enjoy stable calls over a longer range while consuming less power.Noise Health SuiteTM - Blood oxygen monitor, Sleep monitor, 24x7 heart rate monitor, Breathe practice, Stress measurement & Female cycle tracker. (Any of the mentioned health tracking features cannot be used as a substitute for a medical device. The readings can have slight variations.)IP68 water resistance, 100+ cloud based watch faces, 120+ sports modeThe contents in-the-box include the NoiseFit Crew smartwatch, a magnetic charging cable & the user manual.With Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Manufacturer Warranty",50K-100K,Popularity,1K-10K
52,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch","₹1,499",4.2,28702,2220,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"3.3 cms(1.3 inches) Full Touch Screen Curved Display with Multiple Cloud Based Watch Faces (Note: Cloud Based Watch Faces will be Available via OTA Post Launch)Wellness Mode: Spo2 (Real-time Blood Oxygen Level Monitor), 24x7 Heart Rate Monitor, Sleep monitor, Guided Breathing & Menstruation TrackerMetal Body Casing and 5ATM Water ResistanceDaily Activity Tracker and 9 sports Modes | Notifications with Vibration Alerts for Calls, Texts, Social media, Alarms and Sedentary AlertsTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Warranty from the Date of Purchase",10K-50K,Popularity,1K-10K
53,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch","₹1,499",4.2,278207,25765,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"3.3 cms(1.3 inches) Full Touch Screen Curved Display with Multiple Cloud Based Watch Faces (Note: Cloud Based Watch Faces will be Available via OTA Post Launch)
Wellness Mode: Spo2 (Real-time Blood Oxygen Level Monitor), 24x7 Heart Rate Monitor, Sleep monitor, Guided Breathing & Menstruation Tracker
Metal Body Casing and 5ATM Water Resistance
Daily Activity Tracker and 9 sports Modes | Notifications with Vibration Alerts for Calls, Texts, Social media, Alarms and Sedentary AlertsTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Warranty from the date of Purchase",200K-300K,Popularity,20K-30K
54,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹2,699",4.1,620215,54480,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg,Get Upto 10 Day Battery Life with Magnetic ChargerMenstrual Cycle TrackingHeart Rate MonitorIP68 WaterproofTouchscreenFitness & OutdoorBattery Runtime: Upto 10 days1 Year Manufacturer Warranty,500K-650K,Popularity,50K-60K
55,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch","₹1,799",4.2,224027,17882,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"Screen Size: 1.83 inch HD Display
Bluetooth Calling: Save upto 10 Contacts|Mic & Speaker|Dial Pad
Premium Metal Design
Multiple Sports Modes
IP68
HR, SpO2 and Sleep Monitoring
Notifications and alerts
100+ Cloud Watch FacesWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase",200K-300K,Popularity,10K-20K
56,"Noise Core 2 1.28"" Display , Noisefit sync app, 100+ watch faces & 50+ Sports Modes Smartwatch","₹1,499",4,6792,529,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"Screen Size: 1.83 inch HD Display
Bluetooth Calling: Save upto 10 Contacts|Mic & Speaker|Dial Pad
Premium Metal Design
Multiple Sports Modes
IP68
HR, SpO2 and Sleep Monitoring
Notifications and alerts
100+ Cloud Watch FacesWith Call FunctionTouchscreenFitness & Outdoor1 Year Warranty from the Date of Purchase",1K-10K,Popularity,0K-1K
57,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch","₹1,499",4.2,28702,2220,Noise,https://entrackr-bucket.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/04/14145954/noise-800x400.jpg,"1.81 inch HD DisplayBluetooth Calling2.5D Curve Arc DisplayIn Built Games- 2048 &b Whack-a-Mole100+ Sports ModesUpto 7 Days Battery LifeIP68: Dust, Sweat & Splash ResistantHR, SpO2 & Stress MonitoringWith Call FunctionTouchscreenFitness & OutdoorBattery Runtime: Upto 7 days1 Year Warranty from the Date of Purchase",10K-50K,Popularity,1K-10K
